idx,u,i,f,ts
0,1,2,1,0
1,3,4,1,114878
2,3,4,-1,193416
3,5,2,1,373430
4,6,7,1,398658
5,8,7,1,398795
6,9,10,1,399442
7,9,11,1,399492
8,12,13,1,400227
9,9,14,1,400793
10,9,15,1,400863
11,9,16,1,400934
12,9,17,1,401192
13,9,14,1,401367
14,9,18,1,401599
15,19,18,1,402062
16,20,21,1,403983
17,19,22,1,409113
18,8,23,1,409282
19,9,24,1,409684
20,9,22,1,409695
21,25,21,1,426128
22,9,18,-1,429988
23,9,22,-1,438079
24,26,7,1,440164
25,27,28,1,449279
26,29,25,1,463122
27,29,25,-1,473137
28,30,31,1,476545
29,30,31,1,476550
30,30,31,1,476552
31,30,31,1,476555
32,32,33,1,477062
33,34,35,1,484569
34,34,33,1,484757
35,36,37,1,489988
36,38,39,1,497888
37,36,40,1,498596
38,41,15,1,499344
39,41,11,1,499393
40,41,14,1,499501
41,41,13,1,499535
42,41,39,1,500481
43,41,42,1,533250
44,41,43,1,535383
45,9,40,1,542739
46,44,45,1,544507
47,46,22,1,546744
48,44,46,1,547261
49,47,46,1,547547
50,48,46,1,548522
51,44,46,-1,550742
52,9,14,-1,554159
53,9,49,1,555594
54,36,50,1,556754
55,44,51,1,556790
56,32,52,1,557095
57,36,32,1,557161
58,53,54,1,557434
59,36,55,1,557584
60,56,57,1,557587
61,36,32,1,557724
62,36,58,1,557804
63,44,59,1,557959
64,51,58,1,557973
65,44,14,1,558111
66,36,56,1,558415
67,36,60,1,558756
68,56,61,1,559107
69,62,50,1,559448
70,36,60,1,559826
71,32,59,1,560494
72,36,60,1,560911
73,36,50,1,560952
74,41,63,1,561658
75,41,64,1,561707
76,41,65,1,561721
77,41,56,1,561739
78,41,61,1,561800
79,41,43,1,561817
80,41,52,1,561846
81,41,58,1,561877
82,41,59,1,562107
83,9,64,1,562163
84,9,58,1,562218
85,12,66,1,562258
86,32,58,1,562305
87,12,66,1,562307
88,67,32,1,562553
89,41,32,1,562610
90,67,32,1,562688
91,32,68,1,562720
92,68,56,1,562889
93,67,32,1,562907
94,67,32,1,563038
95,68,61,1,563057
96,67,32,1,563118
97,67,8,1,563735
98,69,67,1,564429
99,70,51,1,566206
100,44,50,1,566328
101,67,32,1,567393
102,71,58,1,567444
103,71,72,1,567520
104,51,58,1,567548
105,72,71,1,568288
106,73,74,1,568688
107,74,73,1,568758
108,73,74,1,568952
109,74,73,1,569011
110,34,58,1,569153
111,44,75,1,569156
112,44,75,1,569280
113,9,58,1,569333
114,73,74,1,569371
115,9,76,1,569378
116,32,77,1,570365
117,41,76,1,571145
118,41,78,1,571161
119,79,48,1,571533
120,79,63,1,571574
121,41,80,1,571657
122,79,58,1,571703
123,41,81,1,571711
124,79,70,1,571986
125,19,82,1,572410
126,19,72,1,572483
127,12,32,1,572505
128,19,64,1,572949
129,19,58,1,573069
130,19,58,1,573074
131,19,58,1,573076
132,19,52,1,573427
133,83,59,1,573499
134,51,70,1,573516
135,38,58,1,573870
136,41,58,1,575082
137,63,79,1,575124
138,41,63,1,575132
139,67,59,1,575398
140,41,63,1,575774
141,41,58,1,576141
142,44,84,1,576705
143,19,85,1,577245
144,19,72,1,577333
145,3,84,1,578081
146,19,8,1,578235
147,19,58,1,578310
148,84,86,1,578872
149,83,58,1,579042
150,36,60,1,579071
151,86,48,1,579270
152,87,63,1,579548
153,36,88,1,579728
154,87,8,1,579989
155,36,89,1,580422
156,90,56,1,580441
157,36,90,1,580498
158,36,84,1,580557
159,91,92,1,580614
160,36,93,1,580799
161,91,92,1,580864
162,36,90,1,580880
163,91,92,1,581020
164,36,60,1,581240
165,36,84,1,581731
166,51,58,1,581851
167,94,84,1,581943
168,36,84,1,582309
169,94,84,1,582328
170,94,84,1,582703
171,69,84,1,582803
172,69,95,1,582834
173,87,8,1,583099
174,3,84,1,583488
175,3,84,1,583735
176,48,86,1,584256
177,84,8,1,585326
178,91,81,1,586261
179,96,88,1,586434
180,8,84,1,587412
181,84,8,1,588329
182,91,47,1,588612
183,36,93,-1,588759
184,97,98,1,589261
185,98,97,1,589415
186,97,98,1,589450
187,48,97,1,589559
188,99,8,1,589871
189,99,8,1,589885
190,97,48,1,590015
191,100,101,1,590232
192,102,97,1,590328
193,97,48,1,590639
194,97,102,1,590650
195,101,100,1,591012
196,48,58,1,591073
197,97,48,1,591102
198,103,72,1,594123
199,103,58,1,594484
200,36,50,-1,594538
201,3,84,-1,594992
202,104,59,1,596627
203,104,59,1,596636
204,79,48,-1,596677
205,67,32,-1,596947
206,51,58,-1,597920
207,103,72,1,599147
208,105,56,1,612555
209,106,72,1,612722
210,105,61,1,613005
211,41,63,-1,613051
212,105,8,1,613090
213,105,33,1,613542
214,105,107,1,613856
215,69,84,-1,614093
216,105,81,1,614289
217,44,102,1,615110
218,36,105,1,618356
219,36,104,1,618934
220,34,108,1,619218
221,34,109,1,619782
222,36,110,1,619979
223,111,112,1,620592
224,9,15,-1,621236
225,34,58,1,621500
226,36,113,1,621755
227,36,109,1,621779
228,79,109,1,622546
229,114,105,1,622715
230,101,115,1,622812
231,56,90,1,623614
232,56,105,1,623648
233,56,68,1,623690
234,68,61,-1,623768
235,29,58,1,625009
236,87,58,1,625249
237,44,116,1,625745
238,73,74,-1,626298
239,44,117,1,626319
240,44,117,1,626351
241,44,79,1,626878
242,80,58,1,627298
243,96,32,1,628469
244,118,100,1,629391
245,119,120,1,629727
246,119,120,1,629743
247,120,119,1,629814
248,120,75,1,629889
249,106,72,-1,629923
250,119,120,1,629988
251,120,119,1,630011
252,119,58,1,630087
253,19,82,-1,630236
254,30,31,-1,630374
255,74,73,1,630440
256,118,120,1,631035
257,121,108,1,631525
258,72,106,1,631749
259,44,92,1,632570
260,26,122,1,632985
261,44,79,1,634467
262,1,123,1,635261
263,119,120,-1,635584
264,96,124,1,636485
265,125,126,1,636571
266,36,104,1,637703
267,44,79,1,639257
268,44,79,1,639899
269,36,124,1,640037
270,36,127,1,640667
271,36,128,1,640718
272,44,79,1,640951
273,44,129,1,641065
274,44,116,1,641228
275,9,120,1,641371
276,79,58,1,641770
277,36,109,1,642885
278,124,109,1,643013
279,36,109,1,643185
280,124,61,1,643261
281,124,72,1,643463
282,36,109,1,643966
283,36,112,1,644307
284,124,85,1,644550
285,85,124,1,644664
286,32,130,1,644730
287,36,112,1,644764
288,124,85,1,644807
289,56,68,-1,645473
290,72,124,1,645695
291,124,8,1,645952
292,131,30,1,646280
293,99,126,1,647064
294,103,72,1,647443
295,103,72,1,647804
296,103,63,1,648081
297,103,117,1,648178
298,103,72,1,648562
299,19,58,-1,649437
300,131,30,1,650535
301,69,95,1,651225
302,69,124,1,651243
303,69,79,1,651254
304,132,30,1,651273
305,36,99,1,651606
306,36,133,1,651651
307,36,60,1,651693
308,101,100,-1,651813
309,36,134,1,651895
310,36,133,1,651968
311,36,81,1,652121
312,103,72,1,652398
313,103,135,1,652619
314,133,135,1,652703
315,135,133,1,652744
316,36,133,1,652754
317,103,135,1,652766
318,19,52,1,652989
319,133,135,1,652997
320,103,135,1,653065
321,103,135,1,653113
322,135,133,1,653119
323,133,135,1,653183
324,36,133,1,653197
325,36,133,1,653651
326,36,133,1,654448
327,9,109,1,656511
328,9,109,1,657505
329,62,136,1,658503
330,96,32,1,659051
331,137,138,1,660096
332,96,137,1,660295
333,19,120,1,660498
334,44,90,1,660509
335,96,137,1,660523
336,137,138,1,660532
337,19,139,1,660942
338,44,50,-1,660977
339,44,60,1,661493
340,44,88,1,661585
341,44,102,1,661656
342,44,90,1,661709
343,19,111,1,661718
344,44,90,1,661924
345,9,32,1,661948
346,44,90,1,662097
347,44,90,1,662268
348,103,63,1,662481
349,103,72,1,662528
350,38,86,1,662579
351,140,105,1,662616
352,103,72,1,663106
353,38,86,1,663599
354,38,101,1,663805
355,38,101,1,664560
356,38,101,1,664602
357,103,101,1,664697
358,38,101,1,664807
359,103,101,1,664814
360,38,61,1,665772
361,75,120,1,665776
362,38,81,1,665883
363,44,141,1,666025
364,44,141,1,666121
365,62,136,-1,666249
366,44,74,1,666596
367,44,127,1,666723
368,135,133,-1,668626
369,124,135,1,668886
370,140,124,1,669251
371,19,82,1,669343
372,19,82,1,669638
373,19,82,1,669762
374,105,56,1,669965
375,19,82,1,670023
376,124,135,1,670090
377,105,58,1,670154
378,105,63,1,670168
379,19,82,1,670171
380,105,61,1,670250
381,105,135,1,670434
382,124,135,1,670752
383,71,72,1,671653
384,135,124,1,671885
385,9,32,1,672020
386,63,105,1,672046
387,72,71,1,672281
388,142,58,1,672383
389,124,135,1,672469
390,124,135,1,672658
391,143,32,1,672811
392,144,99,1,673120
393,144,105,1,673261
394,144,121,1,673395
395,9,109,1,673499
396,103,109,1,674722
397,103,63,1,674904
398,19,52,-1,675339
399,103,63,1,675615
400,103,109,1,675753
401,48,81,1,675756
402,95,81,1,675938
403,145,48,1,675980
404,95,63,1,675990
405,145,95,1,676120
406,95,109,1,676124
407,145,95,1,676252
408,145,48,1,676388
409,145,95,1,676550
410,145,48,1,676753
411,145,48,1,676895
412,95,109,1,676966
413,96,48,1,677178
414,95,109,1,677311
415,96,95,1,677579
416,96,95,1,677747
417,96,48,1,677797
418,96,95,1,677966
419,105,144,1,679193
420,105,63,1,679207
421,120,75,-1,680007
422,6,146,1,680075
423,124,8,-1,680159
424,9,109,-1,686466
425,67,32,-1,687623
426,9,109,-1,694012
427,124,135,-1,696174
428,44,84,-1,697545
429,44,60,1,700642
430,44,105,1,700684
431,63,95,1,701107
432,44,32,1,703149
433,44,129,-1,703582
434,114,105,1,704520
435,34,109,1,704698
436,36,105,1,704854
437,36,109,1,704932
438,36,147,1,705424
439,44,32,1,706032
440,19,120,1,706998
441,9,136,1,708090
442,9,148,1,708110
443,9,149,1,708168
444,9,150,1,708215
