idx,u,i,f,ts
0,1,2,1,0
1,3,4,1,114878
2,5,2,1,373430
3,6,7,1,398658
4,8,7,1,398795
5,9,10,1,399442
6,9,11,1,399492
7,12,13,1,400227
8,9,14,1,400793
9,9,15,1,400863
10,9,16,1,400934
11,9,17,1,401192
12,9,14,1,401367
13,9,18,1,401599
14,19,18,1,402062
15,20,21,1,403983
16,19,22,1,409113
17,8,23,1,409282
18,9,24,1,409684
19,9,22,1,409695
20,25,21,1,426128
21,26,7,1,440164
22,27,28,1,449279
23,29,25,1,463122
24,30,31,1,476545
25,30,31,1,476550
26,30,31,1,476552
27,30,31,1,476555
28,32,33,1,477062
29,34,35,1,484569
30,34,33,1,484757
31,36,37,1,489988
32,38,39,1,497888
33,36,40,1,498596
34,41,15,1,499344
35,41,11,1,499393
36,41,14,1,499501
37,41,13,1,499535
38,41,39,1,500481
39,41,42,1,533250
40,41,43,1,535383
41,9,40,1,542739
42,44,45,1,544507
43,46,22,1,546744
44,44,46,1,547261
45,47,46,1,547547
46,48,46,1,548522
47,9,49,1,555594
48,36,50,1,556754
49,44,51,1,556790
50,32,52,1,557095
51,36,32,1,557161
52,53,54,1,557434
53,36,55,1,557584
54,56,57,1,557587
55,36,32,1,557724
56,36,58,1,557804
57,44,59,1,557959
58,51,58,1,557973
59,44,14,1,558111
60,36,56,1,558415
61,36,60,1,558756
62,56,61,1,559107
63,62,50,1,559448
64,36,60,1,559826
65,32,59,1,560494
66,36,60,1,560911
67,36,50,1,560952
68,41,63,1,561658
69,41,64,1,561707
70,41,65,1,561721
71,41,56,1,561739
72,41,61,1,561800
73,41,43,1,561817
74,41,52,1,561846
75,41,58,1,561877
76,41,59,1,562107
77,9,64,1,562163
78,9,58,1,562218
79,12,66,1,562258
80,32,58,1,562305
81,12,66,1,562307
82,67,32,1,562553
83,41,32,1,562610
84,67,32,1,562688
85,32,68,1,562720
86,68,56,1,562889
87,67,32,1,562907
88,67,32,1,563038
89,68,61,1,563057
90,67,32,1,563118
91,67,8,1,563735
92,69,67,1,564429
93,70,51,1,566206
94,44,50,1,566328
95,67,32,1,567393
96,71,58,1,567444
97,71,72,1,567520
98,51,58,1,567548
99,72,71,1,568288
100,73,74,1,568688
101,74,73,1,568758
102,73,74,1,568952
103,74,73,1,569011
104,34,58,1,569153
105,44,75,1,569156
106,44,75,1,569280
107,9,58,1,569333
108,73,74,1,569371
109,9,76,1,569378
110,32,77,1,570365
111,41,76,1,571145
112,41,78,1,571161
113,79,48,1,571533
114,79,63,1,571574
115,41,80,1,571657
116,79,58,1,571703
117,41,81,1,571711
118,79,70,1,571986
119,19,82,1,572410
120,19,72,1,572483
121,12,32,1,572505
122,19,64,1,572949
123,19,58,1,573069
124,19,58,1,573074
125,19,58,1,573076
126,19,52,1,573427
127,83,59,1,573499
128,51,70,1,573516
129,38,58,1,573870
130,41,58,1,575082
131,63,79,1,575124
132,41,63,1,575132
133,67,59,1,575398
134,41,63,1,575774
135,41,58,1,576141
136,44,84,1,576705
137,19,85,1,577245
138,19,72,1,577333
139,3,84,1,578081
140,19,8,1,578235
141,19,58,1,578310
142,84,86,1,578872
143,83,58,1,579042
144,36,60,1,579071
145,86,48,1,579270
146,87,63,1,579548
147,36,88,1,579728
148,87,8,1,579989
149,36,89,1,580422
150,90,56,1,580441
151,36,90,1,580498
152,36,84,1,580557
153,91,92,1,580614
154,36,93,1,580799
155,91,92,1,580864
156,36,90,1,580880
157,91,92,1,581020
158,36,60,1,581240
159,36,84,1,581731
160,51,58,1,581851
161,94,84,1,581943
162,36,84,1,582309
163,94,84,1,582328
164,94,84,1,582703
165,69,84,1,582803
166,69,95,1,582834
167,87,8,1,583099
168,3,84,1,583488
169,3,84,1,583735
170,48,86,1,584256
171,84,8,1,585326
172,91,81,1,586261
173,96,88,1,586434
174,8,84,1,587412
175,84,8,1,588329
176,91,47,1,588612
177,97,98,1,589261
178,98,97,1,589415
179,97,98,1,589450
180,48,97,1,589559
181,99,8,1,589871
182,99,8,1,589885
183,97,48,1,590015
184,100,101,1,590232
185,102,97,1,590328
186,97,48,1,590639
187,97,102,1,590650
188,101,100,1,591012
189,48,58,1,591073
190,97,48,1,591102
191,103,72,1,594123
192,103,58,1,594484
193,104,59,1,596627
194,104,59,1,596636
195,103,72,1,599147
196,105,56,1,612555
197,106,72,1,612722
198,105,61,1,613005
199,105,8,1,613090
200,105,33,1,613542
201,105,107,1,613856
202,105,81,1,614289
203,44,102,1,615110
204,36,105,1,618356
205,36,104,1,618934
206,34,108,1,619218
207,34,109,1,619782
208,36,110,1,619979
209,111,112,1,620592
210,34,58,1,621500
211,36,113,1,621755
212,36,109,1,621779
213,79,109,1,622546
214,114,105,1,622715
215,101,115,1,622812
216,56,90,1,623614
217,56,105,1,623648
218,56,68,1,623690
219,29,58,1,625009
220,87,58,1,625249
221,44,116,1,625745
222,44,117,1,626319
223,44,117,1,626351
224,44,79,1,626878
225,80,58,1,627298
226,96,32,1,628469
227,118,100,1,629391
228,119,120,1,629727
229,119,120,1,629743
230,120,119,1,629814
231,120,75,1,629889
232,119,120,1,629988
233,120,119,1,630011
234,119,58,1,630087
235,74,73,1,630440
236,118,120,1,631035
237,121,108,1,631525
238,72,106,1,631749
239,44,92,1,632570
240,26,122,1,632985
241,44,79,1,634467
242,1,123,1,635261
243,96,124,1,636485
244,125,126,1,636571
245,36,104,1,637703
246,44,79,1,639257
247,44,79,1,639899
248,36,124,1,640037
249,36,127,1,640667
250,36,128,1,640718
251,44,79,1,640951
252,44,129,1,641065
253,44,116,1,641228
254,9,120,1,641371
255,79,58,1,641770
256,36,109,1,642885
257,124,109,1,643013
258,36,109,1,643185
259,124,61,1,643261
260,124,72,1,643463
261,36,109,1,643966
262,36,112,1,644307
263,124,85,1,644550
264,85,124,1,644664
265,32,130,1,644730
266,36,112,1,644764
267,124,85,1,644807
268,72,124,1,645695
269,124,8,1,645952
270,131,30,1,646280
271,99,126,1,647064
272,103,72,1,647443
273,103,72,1,647804
274,103,63,1,648081
275,103,117,1,648178
276,103,72,1,648562
277,131,30,1,650535
278,69,95,1,651225
279,69,124,1,651243
280,69,79,1,651254
281,132,30,1,651273
282,36,99,1,651606
283,36,133,1,651651
284,36,60,1,651693
285,36,134,1,651895
286,36,133,1,651968
287,36,81,1,652121
288,103,72,1,652398
289,103,135,1,652619
290,133,135,1,652703
291,135,133,1,652744
292,36,133,1,652754
293,103,135,1,652766
294,19,52,1,652989
295,133,135,1,652997
296,103,135,1,653065
297,103,135,1,653113
298,135,133,1,653119
299,133,135,1,653183
300,36,133,1,653197
301,36,133,1,653651
302,36,133,1,654448
303,9,109,1,656511
304,9,109,1,657505
305,62,136,1,658503
306,96,32,1,659051
307,137,138,1,660096
308,96,137,1,660295
309,19,120,1,660498
310,44,90,1,660509
311,96,137,1,660523
312,137,138,1,660532
313,19,139,1,660942
314,44,60,1,661493
315,44,88,1,661585
316,44,102,1,661656
317,44,90,1,661709
318,19,111,1,661718
319,44,90,1,661924
320,9,32,1,661948
321,44,90,1,662097
322,44,90,1,662268
323,103,63,1,662481
324,103,72,1,662528
325,38,86,1,662579
326,140,105,1,662616
327,103,72,1,663106
328,38,86,1,663599
329,38,101,1,663805
330,38,101,1,664560
331,38,101,1,664602
332,103,101,1,664697
333,38,101,1,664807
334,103,101,1,664814
335,38,61,1,665772
336,75,120,1,665776
337,38,81,1,665883
338,44,141,1,666025
339,44,141,1,666121
340,44,74,1,666596
341,44,127,1,666723
342,124,135,1,668886
343,140,124,1,669251
344,19,82,1,669343
345,19,82,1,669638
346,19,82,1,669762
347,105,56,1,669965
348,19,82,1,670023
349,124,135,1,670090
350,105,58,1,670154
351,105,63,1,670168
352,19,82,1,670171
353,105,61,1,670250
354,105,135,1,670434
355,124,135,1,670752
356,71,72,1,671653
357,135,124,1,671885
358,9,32,1,672020
359,63,105,1,672046
360,72,71,1,672281
361,142,58,1,672383
362,124,135,1,672469
363,124,135,1,672658
364,143,32,1,672811
365,144,99,1,673120
366,144,105,1,673261
367,144,121,1,673395
368,9,109,1,673499
369,103,109,1,674722
370,103,63,1,674904
371,103,63,1,675615
372,103,109,1,675753
373,48,81,1,675756
374,95,81,1,675938
375,145,48,1,675980
376,95,63,1,675990
377,145,95,1,676120
378,95,109,1,676124
379,145,95,1,676252
380,145,48,1,676388
381,145,95,1,676550
382,145,48,1,676753
383,145,48,1,676895
384,95,109,1,676966
385,96,48,1,677178
386,95,109,1,677311
387,96,95,1,677579
388,96,95,1,677747
389,96,48,1,677797
390,96,95,1,677966
391,105,144,1,679193
392,105,63,1,679207
393,6,146,1,680075
394,44,60,1,700642
395,44,105,1,700684
396,63,95,1,701107
397,44,32,1,703149
398,114,105,1,704520
399,34,109,1,704698
400,36,105,1,704854
401,36,109,1,704932
402,36,147,1,705424
403,44,32,1,706032
404,19,120,1,706998
405,9,136,1,708090
406,9,148,1,708110
407,9,149,1,708168
408,9,150,1,708215
409,9,151,1,708301
410,9,152,1,708393
411,9,153,1,708413
412,9,58,1,708430
413,9,58,1,708439
414,9,135,1,708462
415,9,22,1,708483
416,9,8,1,708581
417,9,154,1,708676
418,9,121,1,708796
419,1,135,1,709432
420,3,155,1,709676
421,36,109,1,709809
422,3,155,1,709869
423,30,132,1,710323
424,3,58,1,710840
425,68,56,1,712604
426,36,156,1,715709
427,131,30,1,716573
428,101,51,1,717555
429,101,34,1,717784
430,9,8,1,718007
431,36,73,1,719050
432,96,95,1,719720
433,9,76,1,720865
434,9,8,1,721094
435,9,157,1,721937
436,19,158,1,722559
437,9,58,1,722713
438,9,32,1,723045
439,44,129,1,727297
440,105,135,1,727318
441,105,129,1,727394
442,44,129,1,727562
443,44,129,1,727615
444,44,129,1,727655
445,51,101,1,727768
446,1,159,1,727804
447,44,74,1,729301
