idx,u,i,f,ts
0,1,0,1,2378
1,1,0,-1,2728
2,0,1,1,2953
3,2,0,1,3267
4,1,2,1,3420
5,3,0,1,4205
6,2,3,1,4335
7,3,1,1,4597
8,4,1,1,5000
9,5,2,1,5101
10,0,4,1,5530
11,1,5,1,5735
12,4,3,1,6069
13,5,4,1,6321
14,6,5,1,6392
15,1,6,1,6417
16,2,6,1,6458
17,4,1,-1,7003
18,6,3,1,7038
19,5,0,1,7142
20,5,3,1,7236
21,2,3,-1,7263
22,2,4,1,7406
23,7,2,1,8001
24,6,7,1,8094
25,6,4,1,8329
26,4,1,1,8436
27,4,7,1,8544
28,6,0,1,8771
29,7,0,1,9527
30,5,7,1,9527
31,8,4,1,9652
32,0,8,1,9769
33,8,3,1,9958
34,8,5,1,10231
35,0,8,-1,10352
36,7,1,1,10717
37,9,2,1,11352
38,3,1,-1,11883
39,4,9,1,13169
40,0,9,1,13413
41,1,8,1,13744
42,8,2,1,13794
43,3,7,1,13797
44,10,5,1,13967
45,5,9,1,14108
46,0,10,1,14191
47,1,9,1,14664
48,11,3,1,15070
49,9,10,1,15189
50,2,10,1,15208
51,4,10,1,15361
52,10,5,-1,15526
53,1,11,1,15789
54,12,2,1,15801
55,13,2,1,15805
56,13,1,1,16000
57,10,1,1,16155
58,9,12,1,16464
59,14,6,1,16654
60,0,14,1,16739
61,5,11,1,16842
62,1,3,1,16920
63,5,7,-1,17203
64,9,8,1,17363
65,4,14,1,17365
66,0,11,1,17398
67,8,11,1,17888
68,14,2,1,17907
69,8,11,-1,18124
70,13,11,1,18540
71,11,8,1,18596
72,7,11,1,19677
73,13,1,-1,19762
74,11,6,1,19821
75,14,11,1,19860
76,10,6,1,20222
77,0,12,1,20301
78,12,13,1,20519
79,8,12,1,20674
80,1,12,1,20804
81,1,14,1,20976
82,0,8,1,20984
83,12,5,1,21461
84,3,13,1,21755
85,1,11,-1,21894
86,2,11,1,22286
87,15,6,1,22349
88,8,14,1,22361
89,7,1,-1,22598
90,16,10,1,23480
91,17,5,1,23701
92,15,3,1,24196
93,2,6,-1,24350
94,18,14,1,24829
95,14,2,-1,25049
96,7,0,-1,25644
97,5,13,1,25720
98,8,10,1,25905
99,5,15,1,26461
100,19,9,1,26463
101,9,12,-1,26645
102,1,5,-1,26876
103,9,7,1,26939
104,11,4,1,26970
105,17,2,1,27987
106,8,5,-1,28068
107,8,13,1,28357
108,6,8,1,28385
109,3,13,-1,28491
110,6,18,1,28757
111,9,18,1,29177
112,8,15,1,29228
113,8,17,1,29230
114,11,16,1,29350
115,11,17,1,29538
116,10,7,1,30086
117,14,2,1,30376
118,5,19,1,31006
119,17,0,1,31070
120,13,19,1,31088
121,17,9,1,31124
122,8,18,1,31194
123,12,7,1,31239
124,20,6,1,31516
125,10,13,1,31777
126,11,15,1,31809
127,16,20,1,31946
128,2,15,1,32218
129,21,2,1,32247
130,22,7,1,32718
131,22,11,1,32978
132,3,2,1,33091
133,12,21,1,33160
134,14,20,1,33386
135,9,6,1,33945
136,9,3,1,34005
137,19,3,1,34265
138,9,13,1,34742
139,1,14,-1,34992
140,8,22,1,35264
141,6,17,1,35319
142,15,16,1,35440
143,10,15,1,35592
144,20,8,1,36071
145,10,18,1,36237
146,13,15,1,36351
147,7,19,1,36441
148,4,15,1,37094
149,9,22,1,37244
150,19,2,1,38358
151,8,7,1,38440
152,11,21,1,38509
153,12,15,1,38738
154,11,9,1,39194
155,11,12,1,39234
156,23,5,1,39880
157,13,23,1,40089
158,12,17,1,40498
159,10,3,1,40514
160,15,9,1,40642
161,9,23,1,41154
162,20,21,1,41448
163,17,15,1,41536
164,24,10,1,41835
165,4,16,1,42189
166,10,22,1,42674
167,1,5,1,42686
168,15,6,-1,42868
169,10,20,1,43244
170,4,17,1,43284
171,7,15,1,43284
172,11,24,1,43688
173,4,18,1,43866
174,25,8,1,44074
175,12,16,1,44398
176,5,8,1,44451
177,5,10,1,45027
178,19,21,1,45483
179,26,8,1,45567
180,10,21,1,45573
181,16,2,1,45691
182,1,26,1,45773
183,6,24,1,45793
184,16,9,1,46085
185,12,23,1,46168
186,27,8,1,46184
187,5,18,1,46291
188,28,9,1,46316
189,29,19,1,46437
190,4,22,1,46510
191,17,19,1,46703
192,29,21,1,46775
193,30,0,1,47009
194,21,5,1,47321
195,30,13,1,47362
196,24,15,1,47440
197,19,10,1,47845
198,8,16,1,47860
199,6,13,1,47926
200,17,18,1,48086
201,2,25,1,48195
202,17,5,-1,48449
203,12,18,1,48480
204,31,9,1,48725
205,1,17,1,48810
206,7,25,1,48890
207,16,6,1,49068
208,22,14,1,49388
209,20,15,1,49497
210,11,18,1,49927
211,30,29,1,50068
212,2,31,1,50111
213,2,27,1,50146
214,3,30,1,50210
215,32,18,1,50540
216,30,15,1,50545
217,20,17,1,50789
218,17,27,1,50857
219,7,18,1,50914
220,18,19,1,51084
221,16,32,1,51202
222,20,29,1,51291
223,11,23,1,51300
224,5,9,-1,51373
225,20,27,1,51689
226,1,31,1,51878
227,15,25,1,51945
228,2,22,1,52647
229,2,30,1,52733
230,7,26,1,53372
231,33,20,1,53638
232,21,25,1,53650
233,27,32,1,53769
234,13,16,1,53935
235,14,19,1,54091
236,33,5,1,54189
237,9,20,1,54288
238,23,2,1,54363
239,6,5,-1,54566
240,13,25,1,55183
241,14,16,1,55316
242,5,17,1,55360
243,34,23,1,55387
244,10,3,-1,55442
245,32,19,1,55863
246,15,28,1,56074
247,16,30,1,56136
248,34,23,-1,56180
249,0,26,1,56394
250,25,32,1,56784
251,20,18,1,57046
252,18,19,-1,57065
253,14,23,1,57206
254,7,29,1,57409
255,0,24,1,57618
256,25,20,1,57942
257,4,24,1,58187
258,21,16,1,58269
259,25,31,1,58337
260,30,18,1,58361
261,18,22,1,58368
262,20,30,1,58436
263,30,9,1,58525
264,22,26,1,58650
265,30,23,1,58860
266,2,26,1,58967
267,10,17,1,59349
268,14,24,1,59462
269,26,14,1,59815
270,26,19,1,59964
271,16,7,1,60134
272,35,7,1,60237
273,6,35,1,60664
274,9,35,1,60752
275,15,25,-1,60870
276,22,27,1,61138
277,29,17,1,61414
278,5,29,1,61544
279,2,24,1,61727
280,36,13,1,61932
281,32,18,-1,62278
282,1,18,1,62291
283,37,30,1,62332
284,22,5,1,62479
285,1,22,1,63123
286,20,13,1,63341
287,2,36,1,63365
288,5,14,1,63479
289,27,8,-1,63526
290,20,0,1,63813
291,35,34,1,63946
292,6,24,-1,63998
293,3,23,1,64027
294,21,15,1,64072
295,15,1,1,64136
296,2,4,-1,64156
297,3,27,1,64305
298,13,4,1,64491
299,12,6,1,64592
300,19,34,1,64765
301,7,1,1,64821
302,23,28,1,64975
303,17,32,1,65134
304,18,29,1,65194
305,38,2,1,65201
306,16,38,1,65496
307,14,21,1,65500
308,9,34,1,65511
309,7,33,1,65942
310,15,6,1,66011
311,21,7,1,66132
312,24,36,1,66132
313,39,10,1,66255
314,23,26,1,66269
315,8,21,1,66407
316,17,24,1,66418
